project_id,project_author_id,project_author_username,studio_numberscript_count,variable_count,list_count,comment_count,costume_count,sprite_count,block_count,block_unique_count,random_block_count,
237132383,10086796,ANTONELLA_CARROZZINI,18,1,1,0,0,8,1,24,15,0
237142159,10086796,ANTONELLA_CARROZZINI,19,14,1,0,0,8,7,53,13,9
237453713,10086796,ANTONELLA_CARROZZINI,20,4,1,0,0,4,2,18,13,4
237457123,10086796,ANTONELLA_CARROZZINI,21,1,0,0,0,11,1,13,9,0
235975853,15802566,antonella-sorci,5,5,0,0,0,16,3,20,12,0
235561590,19789360,antonellamazzobel,1,3,0,0,0,7,3,33,9,0
235678783,19789360,antonellamazzobel,2,4,0,0,0,2,1,20,18,1
235760845,19789360,antonellamazzobel,3,25,0,0,0,50,23,243,15,0
235768398,19789360,antonellamazzobel,3,18,0,0,0,49,15,192,18,0
235819953,19789360,antonellamazzobel,4,106,0,0,0,18,17,263,9,0
235838905,19789360,antonellamazzobel,5,20,0,0,0,17,13,173,16,0
235873007,19789360,antonellamazzobel,5,24,0,0,0,24,23,328,18,0
235998299,19789360,antonellamazzobel,6,18,2,0,0,9,5,96,28,0
236105601,19789360,antonellamazzobel,7,1,0,0,0,2,1,133,19,0
236212101,19789360,antonellamazzobel,8,11,1,0,0,6,5,63,27,0
236313088,19789360,antonellamazzobel,9,5,0,0,0,6,3,101,15,0
236448596,19789360,antonellamazzobel,10,15,2,0,0,19,5,186,29,0
236511545,19789360,antonellamazzobel,11,11,2,0,6,4,2,90,31,3
236537869,19789360,antonellamazzobel,12,60,0,0,0,46,19,283,29,0
236690698,19789360,antonellamazzobel,13,8,0,0,0,6,3,39,24,2
236777356,19789360,antonellamazzobel,13,15,0,0,0,9,3,64,25,0
236760845,19789360,antonellamazzobel,14,7,1,1,0,10,2,47,21,0
236878920,19789360,antonellamazzobel,15,48,0,0,0,13,12,324,17,0
236918202,19789360,antonellamazzobel,15,60,0,0,0,13,12,528,20,0
236954138,19789360,antonellamazzobel,16,6,3,0,0,8,6,56,18,0
237022941,19789360,antonellamazzobel,17,10,1,1,0,34,4,83,19,5
237068418,19789360,antonellamazzobel,17,4,0,0,0,11,2,38,19,1
237081858,19789360,antonellamazzobel,18,35,1,0,0,30,13,164,24,3
237141092,19789360,antonellamazzobel,19,16,0,0,0,38,5,66,27,3
237023264,19789360,antonellamazzobel,20,8,0,0,0,5,2,75,22,2
237394684,19789360,antonellamazzobel,21,20,0,0,0,9,8,83,20,0
235744996,5819312,anujuhkamsoo,2,4,0,0,1,2,1,32,18,0
235984489,5819312,anujuhkamsoo,5,19,0,0,2,12,4,127,25,12
235616850,24267830,asparklekat,2,1,0,0,0,7,1,12,12,0
235701444,24267830,asparklekat,3,10,3,0,0,8,3,117,20,0
235776032,24267830,asparklekat,4,15,0,0,0,4,3,43,15,0
235958394,24267830,asparklekat,6,8,1,1,0,9,4,42,25,1
236049433,24267830,asparklekat,7,13,1,0,0,2,1,85,29,10
236257547,24267830,asparklekat,9,9,0,0,0,6,1,65,27,0
203326404,24267830,asparklekat,10,7,0,0,0,3,1,35,21,0
170336015,24267830,asparklekat,12,40,0,0,0,14,7,122,21,0
170419512,24267830,asparklekat,14,3,2,0,0,3,1,36,20,0
236692482,24267830,asparklekat,15,12,0,0,0,5,2,38,22,0
236878449,24267830,asparklekat,16,4,0,2,0,2,1,33,18,3
236950729,24267830,asparklekat,17,15,1,1,0,2,1,52,24,0
